textSize, RT BruteForce, RT FSM, 	RT KMP, 	RT RabinKarp, RT Sunday
38100,	   519700,	   333200,	   436900,	   4867700,	   283400
38200,	   597600,	   435700,	   639700,	   6033400,	   382500
38300,	   789400,	   543700,	   777100,	   5290000,	   365800
38400,	   795200,	   501100,	   752100,	   5757600,	   215900
38500,	   446100,	   289000,	   403400,	   3432500,	   224900
38600,	   445300,	   287500,	   392300,	   3727300,	   225700
38700,	   451600,	   488800,	   503100,	   3780600,	   220300
38800,	   449200,	   296400,	   390800,	   3452100,	   222500
38900,	   454300,	   288000,	   391700,	   3776000,	   221700
39000,	   625400,	   305900,	   452500,	   4147300,	   227100
39100,	   466200,	   379200,	   393800,	   4632700,	   373200
39200,	   750700,	   399700,	   410000,	   4737900,	   489700
39300,	   934400,	   572200,	   867000,	   5926400,	   351100
39400,	   707900,	   469900,	   686900,	   4635800,	   221500
39500,	   482400,	   354000,	   463300,	   5600100,	   430100
39600,	   946900,	   566500,	   769400,	   5768300,	   260800
39700,	   470900,	   327600,	   576300,	   5243200,	   297000
39800,	   657400,	   449000,	   552100,	   4747800,	   517800
39900,	   957500,	   683600,	   871600,	   5846300,	   427700
40000,	   915400,	   559500,	   818200,	   5387900,	   229500
40100,	   503900,	   320500,	   449900,	   4797700,	   458800
40200,	   902200,	   312400,	   433000,	   3742100,	   236200
40300,	   679900,	   497500,	   790700,	   5304200,	   228400
40400,	   621000,	   487300,	   624700,	   5077400,	   239700
40500,	   509400,	   523500,	   985800,	   4685600,	   272200
40600,	   567100,	   303400,	   408300,	   5406900,	   434800
40700,	   930500,	   583900,	   824000,	   4570600,	   226600
40800,	   470600,	   301800,	   428700,	   3902100,	   263800
40900,	   513100,	   374900,	   475500,	   4223500,	   397900
41000,	   813100,	   309400,	   426700,	   5815900,	   238300
41100,	   476800,	   338400,	   430800,	   3922300,	   216200
41200,	   443800,	   281400,	   440300,	   3918600,	   212700
41300,	   493100,	   304800,	   473000,	   4010600,	   233900
41400,	   483900,	   307400,	   420000,	   4010100,	   250900
41500,	   532800,	   314200,	   432000,	   4518200,	   233300
41600,	   492300,	   283900,	   389700,	   3882300,	   217100
41700,	   447900,	   285500,	   391300,	   3644800,	   306900
41800,	   450000,	   284600,	   413500,	   4014400,	   221300
41900,	   449100,	   287400,	   392600,	   3686600,	   218500
42000,	   448800,	   287500,	   392900,	   3472800,	   219400
42100,	   480500,	   370700,	   411800,	   4309600,	   218200
42200,	   455800,	   304400,	   456600,	   3970000,	   228500
42300,	   469300,	   311900,	   432000,	   3628100,	   228300
42400,	   464700,	   409200,	   519900,	   4023000,	   231600
42500,	   476500,	   305400,	   426500,	   3974200,	   231400
42600,	   484000,	   298700,	   406700,	   3830300,	   261900
42700,	   470600,	   312400,	   476900,	   3891000,	   222000
42800,	   457600,	   292200,	   417800,	   3730900,	   222200
42900,	   456300,	   295900,	   419400,	   4297300,	   221600
43000,	   461600,	   292400,	   418900,	   3742800,	   229800
43100,	   466100,	   293500,	   404100,	   3864100,	   221900
43200,	   464700,	   294200,	   422900,	   4139200,	   226800
43300,	   463900,	   294500,	   421800,	   3809800,	   223400
43400,	   465300,	   295500,	   405700,	   3792400,	   224500
43500,	   507400,	   295900,	   423100,	   5194100,	   225500
43600,	   466900,	   297400,	   408600,	   3922400,	   228000
43700,	   467300,	   297900,	   407700,	   3854400,	   407300
43800,	   558100,	   297800,	   425600,	   3888100,	   226900
43900,	   468100,	   298900,	   427300,	   3747100,	   231100
44000,	   471800,	   298700,	   428800,	   4380700,	   226900
44100,	   477400,	   300300,	   429700,	   3900100,	   233700
44200,	   472200,	   312400,	   431800,	   3728100,	   232300
44300,	   470700,	   307000,	   508800,	   4049700,	   230200
44400,	   516700,	   302200,	   431700,	   4283200,	   235300
44500,	   474000,	   315100,	   421400,	   4086500,	   234100
44600,	   478300,	   303500,	   418600,	   4019800,	   232200
44700,	   474200,	   305100,	   436000,	   3980600,	   231500
44800,	   483700,	   304500,	   435400,	   4064000,	   232900
44900,	   481300,	   304900,	   759400,	   3751000,	   230700
45000,	   482900,	   314000,	   422200,	   3918800,	   232400
45100,	   483700,	   321300,	   476700,	   4138700,	   477100
45200,	   562000,	   307700,	   440700,	   4000700,	   239800
45300,	   488700,	   309200,	   422100,	   3721800,	   235900
45400,	   486800,	   315100,	   440900,	   4814900,	   235200
45500,	   489200,	   315400,	   442000,	   3949800,	   236800
45600,	   485600,	   313000,	   441100,	   3754100,	   246000
45700,	   489700,	   310800,	   428700,	   5532900,	   236700
45800,	   487400,	   312600,	   475900,	   3973700,	   241500
45900,	   487900,	   343100,	   426000,	   4180700,	   281600
46000,	   538200,	   352400,	   460700,	   3762500,	   242000
46100,	   491600,	   314300,	   445200,	   4046800,	   238800
46200,	   489600,	   313200,	   430100,	   4420700,	   277200
46300,	   658400,	   391400,	   478000,	   4078700,	   276800
46400,	   497100,	   314700,	   430500,	   3788000,	   252700
46500,	   493300,	   318800,	   616800,	   4348900,	   288000
46600,	   543600,	   323500,	   432700,	   4084400,	   245400
46700,	   497700,	   317800,	   450900,	   4252700,	   488100
46800,	   499200,	   317700,	   460700,	   4209300,	   248600
46900,	   512600,	   325400,	   447600,	   4118800,	   242500
47000,	   500300,	   323700,	   455300,	   4269000,	   249800
47100,	   517700,	   327000,	   465700,	   4216400,	   249000
47200,	   552800,	   328500,	   500000,	   4141800,	   250100
47300,	   542300,	   436000,	   676900,	   4191600,	   243900
47400,	   503900,	   336300,	   458600,	   4210400,	   248600
47500,	   505700,	   323100,	   458700,	   4128700,	   250100
47600,	   509000,	   321700,	   460500,	   4102100,	   250200
47700,	   507600,	   324200,	   462700,	   4169100,	   252300
47800,	   509000,	   324500,	   469600,	   4398500,	   247700
47900,	   547000,	   323700,	   464300,	   3904000,	   251700
