textSize, RT BruteForce, RT FSM, 	RT KMP, 	RT RabinKarp, RT Sunday
24900,	   302700,	   185300,	   262900,	   479900,	   137200
25000,	   303600,	   182500,	   264500,	   486500,	   137300
25100,	   304200,	   180900,	   265300,	   483500,	   139400
25200,	   307300,	   184200,	   266500,	   614300,	   190300
25300,	   307300,	   238400,	   283100,	   487500,	   141500
25400,	   307900,	   185200,	   268700,	   493000,	   141000
25500,	   309800,	   182300,	   333900,	   582800,	   203900
25600,	   337300,	   211900,	   299900,	   531200,	   154000
25700,	   364200,	   226100,	   321800,	   567700,	   146400
25800,	   350600,	   203700,	   323100,	   618900,	   191500
25900,	   424000,	   233800,	   307100,	   524400,	   158900
26000,	   360000,	   193800,	   274400,	   501600,	   143600
26100,	   317400,	   186800,	   276900,	   502900,	   163100
26200,	   335900,	   201500,	   291200,	   520000,	   144800
26300,	   319100,	   192200,	   365700,	   620400,	   145000
26400,	   320100,	   193900,	   278800,	   510100,	   146600
26500,	   353800,	   225700,	   430900,	   656700,	   147900
26600,	   314900,	   193600,	   299100,	   512400,	   146600
26700,	   325100,	   193600,	   282400,	   571400,	   162100
26800,	   326000,	   284600,	   283300,	   517400,	   149000
26900,	   409400,	   192100,	   284500,	   521100,	   148000
27000,	   327700,	   197100,	   285500,	   518700,	   151000
27100,	   329100,	   197600,	   286100,	   528600,	   150800
27200,	   330400,	   196500,	   287300,	   522400,	   220000
27300,	   331200,	   198400,	   289900,	   524400,	   151700
27400,	   367000,	   198300,	   289700,	   635600,	   223400
27500,	   333900,	   241800,	   423900,	   749500,	   208600
27600,	   400100,	   199700,	   293500,	   536800,	   153700
27700,	   337400,	   196500,	   293200,	   625200,	   177300
27800,	   336600,	   221700,	   355400,	   536800,	   187400
27900,	   339400,	   199100,	   294100,	   642000,	   154300
28000,	   340900,	   202400,	   296000,	   539500,	   155600
28100,	   341100,	   199200,	   297700,	   541800,	   154900
28200,	   343900,	   200000,	   298300,	   545900,	   154400
28300,	   344000,	   200800,	   301900,	   545400,	   156800
28400,	   540000,	   405300,	   361900,	   547400,	   156500
28500,	   450900,	   204500,	   301000,	   549700,	   157800
28600,	   348200,	   202900,	   302400,	   552100,	   157800
28700,	   348400,	   203500,	   304400,	   591600,	   157200
28800,	   350400,	   206000,	   304000,	   555200,	   157300
28900,	   350400,	   207700,	   306400,	   557700,	   179600
29000,	   473400,	   278600,	   438200,	   792900,	   235500
29100,	   456500,	   315000,	   400600,	   776000,	   211700
29200,	   513500,	   321700,	   332500,	   633300,	   174800
29300,	   678700,	   244400,	   347600,	   650000,	   183000
29400,	   395700,	   275200,	   286800,	   624900,	   158500
29500,	   349100,	   208700,	   300700,	   562000,	   157600
29600,	   352500,	   209200,	   296100,	   638100,	   158100
29700,	   375700,	   226500,	   298600,	   568000,	   159500
29800,	   352800,	   215100,	   298900,	   566500,	   160900
29900,	   356700,	   215700,	   304200,	   740000,	   161100
30000,	   387400,	   211500,	   302900,	   571300,	   161600
30100,	   356200,	   211400,	   386000,	   571600,	   161200
30200,	   621500,	   310000,	   498300,	   822600,	   275700
30300,	   646000,	   242900,	   353000,	   704200,	   184500
30400,	   409600,	   241200,	   369700,	   806300,	   212800
30500,	   389100,	   234100,	   308100,	   634200,	   186600
30600,	   363100,	   310700,	   307800,	   618600,	   164900
30700,	   409100,	   234600,	   337600,	   620900,	   199100
30800,	   364400,	   216800,	   346000,	   731500,	   164700
30900,	   367600,	   216900,	   306900,	   919700,	   166700
31000,	   368900,	   218600,	   312500,	   591000,	   165500
31100,	   368900,	   264300,	   313400,	   591900,	   167500
31200,	   368900,	   219000,	   317400,	   593500,	   187000
31300,	   384700,	   219400,	   315100,	   700100,	   168600
31400,	   372500,	   220700,	   314600,	   604500,	   169600
31500,	   418100,	   226100,	   410700,	   602100,	   169500
31600,	   375000,	   221600,	   352800,	   601400,	   171100
31700,	   374900,	   221500,	   354800,	   638400,	   170700
31800,	   420500,	   225500,	   318000,	   954800,	   256000
31900,	   503900,	   314400,	   474500,	   858400,	   185400
32000,	   378000,	   227100,	   323700,	   609400,	   172200
32100,	   379900,	   227100,	   325700,	   606700,	   171400
32200,	   382100,	   227800,	   324800,	   691800,	   172700
32300,	   452300,	   263100,	   326000,	   643200,	   193100
32400,	   439400,	   307700,	   373500,	   649300,	   172900
32500,	   384100,	   228200,	   326200,	   620200,	   175100
32600,	   385200,	   228300,	   329600,	   621400,	   278700
32700,	   441700,	   229900,	   362700,	   617700,	   176300
32800,	   410400,	   229600,	   333800,	   623100,	   175200
32900,	   390400,	   229900,	   332800,	   625900,	   176000
33000,	   390500,	   231900,	   329900,	   627200,	   176300
33100,	   391500,	   237200,	   336000,	   625600,	   179200
33200,	   393300,	   231800,	   368600,	   632900,	   178800
